name,category,doc_id,id
Georgia Technology Authority,ACTOR,2058,123
Office of Information Technology,ACTOR,2050,124
NDIT,ACTOR,2068,125
state offices,ACTOR,2067,126
Chief Executive Officer,ACTOR,2070,127
Chief Innovation Officer,ACTOR,2070,128
Chief Technology Officer,ACTOR,2070,129
Economic Development Authority,ACTOR,2070,130
AI Center of Excellence,ACTOR,2081,131
Chief Data Officer,ACTOR,2081,132
Data Center of Excellence,ACTOR,2081,133
Department of Administration,ACTOR,2171,134
Department of Labor and Training,ACTOR,2081,135
Office of Post Secondary Commissioner,ACTOR,2081,136
Rhode Island Department of Education,ACTOR,2081,137
Department of Education,ACTOR,2066,138
CAIO,ACTOR,1032,139
Ministry of Science and Technology,ACTOR,2261,140
Office of the Governor of Massachusetts,ACTOR,2257,141
Digital Policy Committee,ACTOR,1396,142
AI companies,ACTOR,1801,143
federal government,ACTOR,385,144
state department of justice,ACTOR,1830,145
Google DeepMind AGI Safety Council,ACTOR,2040,146
Indiana,OTHER,1417,147
Chief Digital and Artificial Intelligence Officer,ACTOR,1757,148
Chief Data and Artificial Intelligence Officer,ACTOR,1741,149
OMB,ACTOR,1780,150
FOC,ACTOR,1803,151
Freedom Online Coalition,ACTOR,1803,152
local governments,ACTOR,2098,153
Information Technology department,ACTOR,2019,154
public services,ACTOR,2019,155
Senior Executive Service,ACTOR,579,156
emerging technology lead,ACTOR,579,157
public sector,ACTOR,1099,158
Secretary of the Department of Workforce Development,ACTOR,2092,159
governmental entities,ACTOR,374,160
social media platforms,ACTOR,481,161
DOE,ACTOR,435,162
Defense Information School,ACTOR,523,163
Board of Aldermen,ACTOR,2035,164
City Entity,ACTOR,2035,165
whistleblowers,ACTOR,2035,166
Boston Public Schools,ACTOR,2012,167
City agencies and departments of Boston,ACTOR,2012,168
Information Technology Department,ACTOR,2045,169
OTC,ACTOR,867,170
U.S. government,ACTOR,867,171
Municipal Criminal Court,ACTOR,2043,172
AI Authority,ACTOR,1109,173
AI responsible officers,ACTOR,1109,174
GAO,ACTOR,2325,175
SLMPD,ACTOR,2034,176
Chief Information Officer of the Department of Defense,ACTOR,7,177
city corporation counsel,ACTOR,72,178
government operational environments,ACTOR,6,179
Department,ACTOR,1678,180
Illinois Department of Commerce and Economic Opportunity,ACTOR,314,181
Department of Administrative Services,ACTOR,244,182
Judicial Department,ACTOR,244,183
Office of Policy and Management,ACTOR,244,184
White House Office of Science and Technology Policy,ACTOR,244,185
California Legislature,ACTOR,2151,186
employers,ACTOR,2002,187
Human Resources manager,ACTOR,142,188
congressional defense committee,ACTOR,142,189
program,REQUIREMENT,511,190
Assistant Secretary of Commerce for Communications and Information,ACTOR,148,191
NTIA,ACTOR,148,192
National Telecommunications and Information Administration,ACTOR,148,193
Policy and Plans Steering Group,ACTOR,148,194
Joint Artificial Intelligence Center,ACTOR,139,195
Armed Forces,ACTOR,139,196
higher education institutions,ACTOR,144,197
congressional Committees,ACTOR,159,198
Commander of the US Strategic Command,ACTOR,140,199
U.S.,OTHER,2387,200
data and technology companies,ACTOR,147,201
financial institutions,ACTOR,147,202
transnational criminal organizations,ACTOR,147,203
"Committee on Banking, Housing, and Urban Affairs",ACTOR,221,204
Committee on Financial Services,ACTOR,221,205
FinCEN,ACTOR,221,206
House of Representatives,ACTOR,2171,207
Treasury Department,ACTOR,221,208
Blue Technology Center of Expertise,ACTOR,160,209
Navy program executive officer,ACTOR,155,210
acquisition executive agent for autonomy,ACTOR,155,211
acquisition executive,ACTOR,23,212
House Armed Services Committees,ACTOR,146,213
HR,ACTOR,24,214
Executive Agent of the Joint Counter Small Unmanned Aircraft Systems Office,ACTOR,153,215
congressional appropriations and intelligence committees,ACTOR,199,216
Under Secretary of Defense for Acquisition and Sustainment,ACTOR,1751,217
science and technology reinvention laboratories,ACTOR,188,218
Director of the Intelligence Advanced Research Projects Activity,ACTOR,198,219
Air Force Reserve Command,ACTOR,241,220
water management,ACTOR,241,221
congressional intelligence committees,ACTOR,200,222
CIA,ACTOR,197,223
congressional intelligence and appropriations committees,ACTOR,197,224
diplomacy,ACTOR,196,225
Chief Digital and Artificial Intelligence Officer Governing Council,ACTOR,1756,226
Director of the Defense Media Activity,ACTOR,193,227
Committees on Armed Services,ACTOR,186,228
Task Force,REQUIREMENT,2265,229
PME,ACTOR,223,230
Professional Military Education,ACTOR,223,231
Defense Acquisition University,ACTOR,224,232
Five Eyes Partnership,ACTOR,237,233
Chief Privacy Officer,ACTOR,2009,234
Chief Procurement Officer,ACTOR,14,235
Office of the Inspector General,ACTOR,14,236
Officer for Civil Rights and Civil Liberties,ACTOR,14,237
"Committee on Commerce, Science, and Transportation of the Senate",ACTOR,235,238
"Committee on Science, Space, and Technology of the House of Representatives",ACTOR,235,239
Committee on Transportation and Infrastructure,ACTOR,235,240
Foreign Service,ACTOR,233,241
Chinese AI businesses,ACTOR,230,242
congressional armed services committees,ACTOR,228,243
official,ACTOR,13,244
Bureau of Global Talent Management,ACTOR,234,245
government departments,ACTOR,216,246
chief digital recruiting officer,ACTOR,214,247
National Security Commission on AI,ACTOR,211,248
Under Secretary of Defense for Intelligence,ACTOR,215,249
Director of the AI program,ACTOR,27,250
CCHT Director,ACTOR,28,251
Science and Technology Directorate Office of Science and Engineering,ACTOR,28,252
department of Homeland security,ACTOR,28,253
Commission,ACTOR,1734,254
Information Officer of the Department of Commerce,ACTOR,55,255
Committee on Homeland Security and Governmental Affairs,ACTOR,61,256
Committee on Oversight and Reform,ACTOR,61,257
Director of the AI CoE,ACTOR,61,258
Texas state agencies,ACTOR,277,259
artificial intelligence advisory council,ACTOR,277,260
federal agencies,ACTOR,68,261
nonprofit research organizations,ACTOR,68,262
US government,ACTOR,77,263
DOE National Laboratories,ACTOR,65,264
Office of Science,ACTOR,65,265
institutes of higher education,ACTOR,65,266
Department of Transportation,ACTOR,164,267
smart city infrastructure projects,REQUIREMENT,164,268
Director,ACTOR,75,269
private sector,ACTOR,1919,270
AI advisory committee,ACTOR,303,271
government,ACTOR,1804,272
universities,ACTOR,303,273
digital marketing providers,ACTOR,175,274
Federal Acquisition Security Council,ACTOR,1234,275
Under Secretary of Commerce,ACTOR,1234,276
Code Council,ACTOR,473,277
Federal Digital Platform Commission,ACTOR,473,278
DEA,ACTOR,576,279
remote computing services,ACTOR,576,280
Five AIs Strategic Artificial Intelligence Working Group,ACTOR,851,281
Five Eyes countries,OTHER,405,282
China,OTHER,2387,283
Artificial Intelligence Safety Review Office,ACTOR,1887,284
Under Secretary of Commerce for AI Safety,ACTOR,1887,285
education and workforce systems,ACTOR,1923,286
executive agencies,ACTOR,70,287
IRS,ACTOR,1886,288
Director of the Office of National Drug Control Policy,ACTOR,1975,289
DPA,ACTOR,1690,290
research entities,ACTOR,1434,291
University of Wyoming,ACTOR,1766,292
advisory council,REQUIREMENT,161,293
governments,ACTOR,1396,294
international cooperation,REQUIREMENT,1379,295
Secretary of the Office of Policy and Management,ACTOR,1664,296
MNFC,ACTOR,1764,297
Minnesota Fusion Center,ACTOR,1764,298
law enforcement agencies,DOMAIN,1543,299
Higher Education Coordinating Commission,ACTOR,1769,300
Joint Legislative Education Oversight Committee,ACTOR,1778,301
Morgan State University,ACTOR,1779,302
Maryland Department of Information Technology,ACTOR,1426,303
government information and services,ACTOR,1426,304
Administrator of the Office of Electronic Government,ACTOR,534,305
defense and intelligence agencies,ACTOR,534,306
consortium,ACTOR,1163,307
Chinese government-controlled entities,ACTOR,508,308
working group,REQUIREMENT,244,309
Microsoft,ACTOR,771,310
Bureau of Technology,ACTOR,418,311
Chinese entities of concern,ACTOR,499,312
autonomous commercial vehicles,DOMAIN,1613,313
Title VII of the Communications Act of 1934,LEGAL_SOURCE,836,314
Americas Partnership Secretariat,ACTOR,985,315
National Academies,ACTOR,25,316
automation,TECHNOLOGY,1551,317
providers,ACTOR,888,318
Civil Rights Division,ACTOR,414,319
Office of Financial Research,ACTOR,449,320
National AI Commission,ACTOR,450,321
state legislatures,ACTOR,450,322
Joint Autonomy Office,ACTOR,420,323
credit unions,ACTOR,1920,324
depository institutions,ACTOR,433,325
email service providers,ACTOR,441,326
oversight organization,ACTOR,440,327
task force,ACTOR,25,328
Artificial Intelligence Governance Boards,ACTOR,437,329
Chief Artificial Intelligence Officer,ACTOR,196,330
EPA,ACTOR,443,331
DOC,ACTOR,471,332
Supply Chain Resiliency and Crisis Response Office,ACTOR,471,333
Office of Investment and Innovation,ACTOR,461,334
broadband and emerging information technology coordinator,ACTOR,461,335
executive branch,ACTOR,1658,336
Congressional committees,ACTOR,2347,337
National Laboratories,ACTOR,435,338
weather enterprise,ACTOR,800,339
Federal,ACTOR,511,340
Harmful Algal Bloom Data Assembly Center,ACTOR,832,341
industry,ACTOR,2403,342
Office of Manufacturing Security and Resilience,ACTOR,500,343
Dominant Online Music Distribution Platforms,ACTOR,568,344
People's Liberation Army,DOMAIN,508,345
"Secretaries of Defense, Commerce, and Energy",ACTOR,805,346
NRC,ACTOR,823,347
nuclear energy industry,ACTOR,823,348
ICE,ACTOR,652,349
transnational criminal networks,ACTOR,652,350
"National Academies of Sciences, Engineering, and Medicine",ACTOR,821,351
Senate and House committees,ACTOR,821,352
Intelligence Advanced Research Projects Activity,ACTOR,198,353
Assistant Secretary of Commerce,ACTOR,2297,354
Countering AI-Enabled Disinformation Task Force,ACTOR,815,355
research proposals,LEGAL_SOURCE,583,356
Medicare,ACTOR,830,357
social media companies,ACTOR,573,358
health care entities,ACTOR,617,359
National Academy of Sciences,ACTOR,592,360
NASA,ACTOR,515,361
unmanned systems capabilities office,ACTOR,820,362
Committee on National Critical Capabilities,ACTOR,522,363
MA,ACTOR,819,364
Medicaid programs,ACTOR,819,365
Under Secretary,ACTOR,2406,366
covered entities,ACTOR,2273,367
CBP Innovation Team,ACTOR,881,368
CFPB,ACTOR,843,369
House committees,ACTOR,917,370
Department of Veterans Affairs,ACTOR,872,371
NPSB,ACTOR,898,372
Office of the Secretary of Health and Human Services,ACTOR,898,373
Associate Administrator,ACTOR,704,374
DFC,ACTOR,986,375
Export-Import Bank,ACTOR,986,376
Office of Energy,ACTOR,986,377
agency heads,ACTOR,905,378
border security operations,ACTOR,879,379
Commission of Experts on Child Exploitation and Artificial Intelligence,ACTOR,865,380
national security,DOMAIN,2387,381
Under Secretary of Defense,ACTOR,897,382
National Endowment for Democracy,ACTOR,1003,383
independent media,ACTOR,1003,384
election offices,ACTOR,896,385
elections,ACTOR,896,386
aviation rulemaking committee,ACTOR,682,387
commercial air tour operators,ACTOR,682,388
ByteDance,ACTOR,994,389
TikTok,ACTOR,994,390
Assistant Secretary for Technology for Peace,ACTOR,1002,391
FEMA,ACTOR,1264,392
CRAs,ACTOR,856,393
motor vehicle lenders,ACTOR,856,394
residential mortgage lenders,ACTOR,856,395
border security,REQUIREMENT,2312,396
Artificial Intelligence Safety Institute,ACTOR,860,397
Center for AI Advancement and Reliability,ACTOR,1222,398
Board,ACTOR,1197,399
regulatory sandboxes,REQUIREMENT,1109,400
Office of Critical and Emerging Technology,ACTOR,1274,401
"federal, state, or local elections",ACTOR,1280,402
AI Coordination Boards,ACTOR,1297,403
Chief Artificial Intelligence Officers Council,ACTOR,437,404
Middle Eastern allies,OTHER,1212,405
Director of the United States Patent and Trademark Office,ACTOR,1265,406
State energy agencies,ACTOR,1296,407
Geothermal Technologies Office,ACTOR,1306,408
Secretaries of Education and Health & Human Services,ACTOR,1287,409
FDIC,ACTOR,1248,410
NCUA,ACTOR,1248,411
OCC,ACTOR,1248,412
State Attorneys General,ACTOR,1311,413
National Coordinator for Health IT,ACTOR,1249,414
National Library of Medicine,ACTOR,1249,415
regulatory authorities,ACTOR,2096,416
sports organizations,ACTOR,1343,417
Federal civilian agency,ACTOR,1263,418
National Institute of Standards & Technology,ACTOR,288,419
Department of Health and Human Services,ACTOR,2408,420
Forest Service,ACTOR,1352,421
U.S. Geological Survey,ACTOR,1352,422
National Wildfire Coordinating Group,ACTOR,1353,423
National Synthetic Biology Center,ACTOR,1319,424
states,ACTOR,1269,425
community colleges,ACTOR,1200,426
technical schools,ACTOR,1200,427
National Marine Fisheries Service,ACTOR,1375,428
Assistant Administrator for Fisheries,ACTOR,1374,429
National Security Council,ACTOR,1315,430
Chief Data Officers,ACTOR,1679,431
NAIRR,REQUIREMENT,444,432
Operating Entity,REQUIREMENT,444,433
New York,OTHER,2426,434
managed care organizations,ACTOR,379,435
Commissioner of Banking and Insurance,ACTOR,357,436
Department of Banking and Insurance,ACTOR,357,437
Rhode Island Attorney General's Office,ACTOR,368,438
Joint Legislative Commission on Governmental Operations,ACTOR,375,439
state legislators,ACTOR,375,440
"Children, Youth, and Families Department",ACTOR,1158,441
structured decision-making tools,TECHNOLOGY,1158,442
licensed mental health professionals,DOMAIN,356,443
Artificial Intelligence Implementation Officer,ACTOR,362,444
Artificial Intelligence Officer,ACTOR,362,445
commissioner of taxation and finance,ACTOR,363,446
collective bargaining agreements,LEGAL_SOURCE,367,447
OpenAI,ACTOR,767,448
independent oversight body,ACTOR,1116,449
FRA,ACTOR,1189,450
HHS,ACTOR,830,451
"State, Local, Tribal, and Territorial Governments",ACTOR,1027,452
United States Department of Health and Human Services,ACTOR,1027,453
SLTT agencies,ACTOR,1026,454
Responsible Development and Innovation team,ACTOR,761,455
Fair Housing Act,LEGAL_SOURCE,1029,456
audience categorization,REQUIREMENT,1029,457
OPM,ACTOR,1036,458
Texas House of Representatives,ACTOR,300,459
Texas Workforce Commission,ACTOR,300,460
Industries of the Future Coordination Council,ACTOR,150,461
government benefit and welfare programs,ACTOR,292,462
Commissioner of Labor and Workforce Development,ACTOR,310,463
State’s economy,ACTOR,310,464
New York state commission,ACTOR,311,465
standards,REQUIREMENT,1203,466
California Department of Technology,ACTOR,1551,467
Office of Artificial Intelligence,ACTOR,293,468
employment agencies,ACTOR,2002,469
GenAI,TECHNOLOGY,1558,470
armed platforms,TECHNOLOGY,50,471
"Directorate-General for Communication Networks, Content and Technology",ACTOR,1074,472
European Artificial Intelligence Office,ACTOR,1074,473
AI Technical Subcommittee,ACTOR,1390,474
ISO/IEC JTC 1,ACTOR,1390,475
National Information Technology Standardization Technical Committee,ACTOR,1390,476
Minister,ACTOR,1394,477
Board of Directors,ACTOR,766,478
Safety Advisory Group,ACTOR,766,479
international forums,ACTOR,1076,480
Municipal People's Government,ACTOR,1128,481
11 CFR 110.16,LEGAL_SOURCE,1322,482
AI Governance Boards,ACTOR,1387,483
Chief AI Officers,ACTOR,1033,484
legislature,ACTOR,1658,485
parole boards,ACTOR,1535,486
Department of Management Services,ACTOR,1496,487
Artificial Intelligence Impact Task Force,ACTOR,1403,488
University of Hawaii,ACTOR,1411,489
media entities,ACTOR,1431,490
University of Mississippi,ACTOR,1715,491
Iowa State University of Science and Technology,ACTOR,1714,492
general assembly,ACTOR,1714,493
election officials,ACTOR,1549,494
University of Tennessee,ACTOR,1446,495
public charter schools,ACTOR,1446,496
interactive computer services,ACTOR,1499,497
UN entities,ACTOR,1152,498
Office of Artificial Intelligence Policy,ACTOR,1726,499
legislative commission,ACTOR,1729,500
Commissioner of Education,ACTOR,1730,501
multilateral institutions,ACTOR,1195,502
automation technologies,TECHNOLOGY,2425,503
California Cybersecurity Integration Center,ACTOR,2052,504
Artificial Intelligence Advisory Committee,REQUIREMENT,385,505
AI tools,TECHNOLOGY,1553,506
ML,TECHNOLOGY,1757,507
AI standards,REQUIREMENT,2401,508
AI systems,TECHNOLOGY,2415,509
White House Task Force on Artificial Intelligence Education,REQUIREMENT,2417,510
AI literacy,DOMAIN,1550,511
AI skill development,DOMAIN,2417,512
antitrust laws,LEGAL_SOURCE,2359,513
civil actions,REQUIREMENT,2426,514
uncrewed systems capabilities office,REQUIREMENT,2419,515
small uncrewed maritime systems,TECHNOLOGY,2419,516
National Advisory Committee on Autonomous Maritime Systems,REQUIREMENT,2419,517
privacy,RISK,2415,518
voluntary interconnectivity standards,REQUIREMENT,2325,519
technology acquisition and integration,TECHNOLOGY,2312,520
digital test environment,TECHNOLOGY,2531,521
"section 2222 of title 10, United States Code",LEGAL_SOURCE,2533,522
AI-enabled software,TECHNOLOGY,1751,523
Digital On-Demand Program,REQUIREMENT,1755,524
cybersecurity,RISK,2425,525
automated decision-making tools,TECHNOLOGY,1816,526
foundation AI models,TECHNOLOGY,1806,527
U.S. person information,OTHER,1806,528
report to Congress,LEGAL_SOURCE,838,529
research program,REQUIREMENT,839,530
report findings to Congress,LEGAL_SOURCE,839,531
disclaimer requirement,REQUIREMENT,447,532
Program Management Office,REQUIREMENT,444,533
accountability,OTHER,2267,534
AI acquisition guides,LEGAL_SOURCE,2268,535
shared repository,TECHNOLOGY,2268,536
emergency economic powers,REQUIREMENT,2301,537
federally funded researchers,ACTOR,2336,538
National Center for Alternatives to Animals in Research and Testing,ACTOR,2336,539
interconnectivity standards,REQUIREMENT,2367,540
generative AI applications,TECHNOLOGY,2347,541
governance framework,LEGAL_SOURCE,2047,542
security,RISK,1545,543
National Vulnerability Database,LEGAL_SOURCE,1203,544
health and human services enterprise coalition,REQUIREMENT,2245,545
Office of the Chief Technology Officer,ACTOR,2248,546
rules and regulations,LEGAL_SOURCE,2146,547
AI usage standards,REQUIREMENT,2250,548
DES,ACTOR,2249,549
civil penalty,OTHER,2145,550
inventory,LEGAL_SOURCE,2089,551
report,LEGAL_SOURCE,2270,552
workforce,DOMAIN,2270,553
office of technology services,ACTOR,2159,554
Delaware State Agencies,ACTOR,2111,555
New York City,OTHER,2269,556
biometric identification,TECHNOLOGY,2047,557
multi-factor authentication,REQUIREMENT,2243,558
video interviews,LEGAL_SOURCE,2107,559
Select Committee on Artificial Intelligence,REQUIREMENT,2239,560
Stakeholder Working Group,REQUIREMENT,2189,561
K-12 computer science curriculum,REQUIREMENT,2264,562
school districts,ACTOR,2264,563
mechanization and automation,TECHNOLOGY,660,564
AIDA,LEGAL_SOURCE,1052,565
public education campaign,REQUIREMENT,1829,566
data,OTHER,2021,567
guidelines,LEGAL_SOURCE,2021,568
transparency,OTHER,2390,569
data governance,OTHER,1054,570
AI Action Plan,LEGAL_SOURCE,2062,571
Department of Information Technology,ACTOR,2062,572
secure cloud infrastructure,TECHNOLOGY,2050,573
AI technology inventory,LEGAL_SOURCE,2068,574
AI inventory,LEGAL_SOURCE,2067,575
NIST AI RMF,REQUIREMENT,2067,576
Artificial Intelligence Task Force,REQUIREMENT,2265,577
AI policies and ethics,LEGAL_SOURCE,2081,578
AI training programs,REQUIREMENT,2081,579
State Superintendent of Education,ACTOR,2066,580
National Science and Technology Ethics Commission,ACTOR,2261,581
AI Strategic Task Force,REQUIREMENT,2257,582
AI governance,OTHER,2422,583
public safety,RISK,1997,584
AI governance workforce,OTHER,1243,585
AI fellowships,REQUIREMENT,1243,586
consumer civil actions,OTHER,1830,587
governance protocols,OTHER,2040,588
AI technologies,TECHNOLOGY,2171,589
automated target recognition algorithms,TECHNOLOGY,1753,590
policies,LEGAL_SOURCE,2257,591
AI capabilities,TECHNOLOGY,1380,592
AI initiatives,REQUIREMENT,1744,593
biotechnology,DOMAIN,1752,594
pilot program,REQUIREMENT,2414,595
AI models,TECHNOLOGY,1820,596
annual reports,LEGAL_SOURCE,1738,597
cybersecurity strategy,LEGAL_SOURCE,1743,598
modular open systems architecture,REQUIREMENT,1749,599
private right of action,REQUIREMENT,1782,600
human rights,RISK,1379,601
national security technologies,TECHNOLOGY,1805,602
U.S. persons,ACTOR,1805,603
S&T ethics,LEGAL_SOURCE,2098,604
federal agency,ACTOR,579,605
Office of Artificial Intelligence Incident Reporting,ACTOR,1264,606
AI Centers of Excellence,REQUIREMENT,1099,607
Governor’s Task Force on Workforce and Artificial Intelligence,REQUIREMENT,2092,608
Pilot Program,REQUIREMENT,481,609
age verification technologies,TECHNOLOGY,481,610
climate models,TECHNOLOGY,435,611
industry-open technical standards,REQUIREMENT,523,612
surveillance technology,TECHNOLOGY,2035,613
ordinance,LEGAL_SOURCE,2035,614
Open Translation Center,ACTOR,867,615
governing board,ACTOR,867,616
legal and policy issues,LEGAL_SOURCE,1903,617
transparency reports,LEGAL_SOURCE,2034,618
clinical decision-making,DOMAIN,2409,619
Joint Common Foundation Program,REQUIREMENT,3,620
artificial intelligence systems,TECHNOLOGY,7,621
plan working group,REQUIREMENT,1,622
AI-related information technology infrastructure,TECHNOLOGY,1,623
law,LEGAL_SOURCE,72,624
Information Technology Modernization Centers of Excellence Program,REQUIREMENT,70,625
omics data,OTHER,78,626
hydrologic modeling,TECHNOLOGY,34,627
fairness,RISK,2245,628
safety,RISK,838,629
immigration of AI talent,ACTOR,307,630
discrimination,RISK,1816,631
privacy-preserving research,RISK,307,632
annual report,LEGAL_SOURCE,208,633
electronic portfolios,TECHNOLOGY,142,634
cyber systems,TECHNOLOGY,161,635
emerging technologies,TECHNOLOGY,1755,636
national cybersecurity challenges,REQUIREMENT,161,637
digital literacy,DOMAIN,1379,638
ethically and responsibly developed artificial intelligence,RISK,139,639
board of advisors,REQUIREMENT,139,640
steering committee on emerging technology and national security threats,REQUIREMENT,139,641
commercial solutions,TECHNOLOGY,159,642
STEM education programs,REQUIREMENT,145,643
unmanned maritime systems,TECHNOLOGY,160,644
acquisition workforce,ACTOR,23,645
Director of the Space Development Agency,ACTOR,158,646
DOD coding language proficiency,REQUIREMENT,141,647
direct hiring authorities,REQUIREMENT,24,648
plan,LEGAL_SOURCE,153,649
Vice Chairman of the Joint Chiefs of Staff,ACTOR,188,650
microelectronics research,LIFECYCLE_STAGE,198,651
53rd Weather Reconnaissance Squadron,ACTOR,241,652
autonomous platform,TECHNOLOGY,241,653
Office of Strategic Capital,ACTOR,205,654
intellectual property,LEGAL_SOURCE,1545,655
data analytics,TECHNOLOGY,390,656
information technology modernization and improvement plan,LEGAL_SOURCE,390,657
Data-Sharing and Data-Driven Decision-Making Task Force,ACTOR,384,658
cadre of experts in emerging technologies,REQUIREMENT,12,659
feasibility report,LEGAL_SOURCE,12,660
Iran-origin unmanned aircraft systems,TECHNOLOGY,237,661
unmanned vehicles,TECHNOLOGY,239,662
sensors,TECHNOLOGY,2349,663
policy,LEGAL_SOURCE,9,664
AI-related policies,LEGAL_SOURCE,8,665
National Intelligence Program,REQUIREMENT,8,666
engineering,DOMAIN,145,667
software,TECHNOLOGY,2408,668
evaluation system,REQUIREMENT,27,669
interactive learning portfolio,LEGAL_SOURCE,27,670
artificial intelligence training program,REQUIREMENT,27,671
Center for Artificial Intelligence,REQUIREMENT,25,672
AI research institutes,ACTOR,1228,673
National Artificial Intelligence Initiative,REQUIREMENT,25,674
AI research and development program,REQUIREMENT,25,675
analytics,TECHNOLOGY,28,676
center for countering human trafficking,REQUIREMENT,28,677
manufacturing.gov website,TECHNOLOGY,55,678
Director of the CoE,ACTOR,61,679
discriminatory impact,RISK,61,680
civil rights,RISK,444,681
inventory reports,LEGAL_SOURCE,277,682
veteran healthcare provisions,DOMAIN,68,683
Federal AI scholarship-for-service program,REQUIREMENT,77,684
transportation efficiency,DOMAIN,164,685
university transportation centers,REQUIREMENT,165,686
emerging technology research pilot program,REQUIREMENT,163,687
additive manufacturing technologies,TECHNOLOGY,163,688
Microelectronic Science Research Centers,ACTOR,79,689
Secretary of the Advanced Computing Program,ACTOR,75,690
