source,target,relationship,label
64,799,evaluate,EVALUATE
72,799,evaluate,EVALUATE
73,799,evaluate,EVALUATE
74,76,mandate,OBLIGATE
75,74,establish,DEVELOP
75,76,mandate,OBLIGATE
76,74,establish,DEVELOP
77,74,establish,DEVELOP
77,76,mandate,OBLIGATE
78,94,obligate,OBLIGATE
21,94,obligate,OBLIGATE
79,68,permit,AUTHORIZE
64,801,expand,DEVELOP
64,22,mandate,OBLIGATE
22,801,expand,DEVELOP
71,22,obligate,OBLIGATE
64,751,evaluate,EVALUATE
64,22,require,OBLIGATE
22,751,evaluate,EVALUATE
81,782,protect,REGULATE
82,802,require,OBLIGATE
4,802,require,OBLIGATE
85,805,apply,IMPLEMENT
86,807,use,USE
87,808,track,EVALUATE
88,810,submit,REPORT
88,811,carry,IMPLEMENT
88,812,mandate,OBLIGATE
88,812,report,REPORT
89,811,carry,IMPLEMENT
89,88,mandate,OBLIGATE
90,811,carry,IMPLEMENT
90,88,mandate,OBLIGATE
92,814,implement,IMPLEMENT
93,815,maintain,IMPLEMENT
95,46,coordinate,COORDINATE
96,108,establish,DEVELOP
98,201,require,OBLIGATE
102,820,establish,DEVELOP
103,822,improve,DEVELOP
103,46,oversee,REGULATE
104,46,adopt,DEVELOP
105,823,develop,DEVELOP
105,824,establish,DEVELOP
106,235,require,OBLIGATE
11,826,use,USE
109,1,require,OBLIGATE
110,827,support,SUPPORT
111,112,establish,DEVELOP
113,112,establish,DEVELOP
27,829,develop,DEVELOP
27,51,require,OBLIGATE
49,829,develop,DEVELOP
49,51,require,OBLIGATE
51,829,develop,DEVELOP
115,147,require,OBLIGATE
116,782,protect,REGULATE
61,117,require,OBLIGATE
61,831,use,USE
117,831,use,USE
119,117,require,OBLIGATE
119,831,use,USE
1,16,require,OBLIGATE
120,517,list,REPORT
10,121,require,OBLIGATE
10,739,submit,REPORT
1,121,require,OBLIGATE
1,739,submit,REPORT
117,121,require,OBLIGATE
117,739,submit,REPORT
121,739,submit,REPORT
10,114,instruct,OBLIGATE
122,93,direct,OBLIGATE
123,93,direct,OBLIGATE
124,93,direct,OBLIGATE
125,835,establish,DEVELOP
126,93,direct,OBLIGATE
127,93,direct,OBLIGATE
127,836,ensure,REGULATE
10,35,obligate,OBLIGATE
35,692,develop,DEVELOP
35,838,update,REPORT
25,838,update,REPORT
10,739,mandate,OBLIGATE
10,91,require,OBLIGATE
91,92,direct,OBLIGATE
129,839,create,DEVELOP
131,46,ensure,REGULATE
131,782,protect,REGULATE
134,842,instruct,OBLIGATE
135,761,assess,EVALUATE
137,843,implement,IMPLEMENT
138,739,require,OBLIGATE
93,140,direct,OBLIGATE
93,844,establish,DEVELOP
140,844,establish,DEVELOP
141,46,promote,SUPPORT
142,140,direct,OBLIGATE
142,844,establish,DEVELOP
143,845,develop,DEVELOP
144,846,mandate,OBLIGATE
144,846,require,OBLIGATE
146,849,impose,OBLIGATE
146,850,impose,OBLIGATE
137,843,create,DEVELOP
137,849,impose,OBLIGATE
137,850,impose,OBLIGATE
147,149,require,OBLIGATE
147,46,review,EVALUATE
148,149,require,OBLIGATE
148,46,review,EVALUATE
149,46,review,EVALUATE
150,851,create,DEVELOP
151,851,create,DEVELOP
18,852,file,REPORT
18,853,update,REPORT
152,854,encourage,SUPPORT
55,854,encourage,SUPPORT
153,854,encourage,SUPPORT
155,855,require,OBLIGATE
156,856,require,OBLIGATE
149,857,involve,COORDINATE
149,157,require,OBLIGATE
149,858,require,OBLIGATE
149,769,use,USE
158,859,analyze,EVALUATE
160,532,obligate,OBLIGATE
82,277,instruct,OBLIGATE
4,277,instruct,OBLIGATE
162,863,establish,DEVELOP
163,864,convene,COORDINATE
163,166,require,OBLIGATE
164,163,instruct,OBLIGATE
165,864,convene,COORDINATE
167,166,require,OBLIGATE
168,166,require,OBLIGATE
169,166,require,OBLIGATE
170,172,instruct,OBLIGATE
171,172,instruct,OBLIGATE
172,866,implement,IMPLEMENT
174,868,direct,OBLIGATE
174,870,require,OBLIGATE
175,868,direct,OBLIGATE
176,871,permit,AUTHORIZE
177,871,permit,AUTHORIZE
180,874,advance,SUPPORT
181,739,require,OBLIGATE
16,875,allocate,AUTHORIZE
96,876,award,AUTHORIZE
182,183,empower,AUTHORIZE
182,878,enforce,REGULATE
183,878,enforce,REGULATE
33,879,mandate,OBLIGATE
184,881,protect,REGULATE
184,882,update,REPORT
185,813,ensure,REGULATE
185,46,track,EVALUATE
102,149,require,OBLIGATE
187,883,establish,DEVELOP
188,46,develop,DEVELOP
189,885,create,DEVELOP
189,46,oversee,REGULATE
190,887,require,OBLIGATE
191,46,report,REPORT
192,46,report,REPORT
193,888,establish,DEVELOP
193,889,utilize,USE
142,802,require,OBLIGATE
195,890,maintain,IMPLEMENT
196,892,maintain,IMPLEMENT
196,893,use,USE
197,894,establish,DEVELOP
198,894,establish,DEVELOP
199,894,establish,DEVELOP
200,894,establish,DEVELOP
202,896,formulate,DEVELOP
203,157,mandate,OBLIGATE
203,204,oversee,REGULATE
204,157,mandate,OBLIGATE
157,204,oversee,REGULATE
205,898,develop,DEVELOP
205,207,instruct,OBLIGATE
206,898,develop,DEVELOP
206,205,instruct,OBLIGATE
206,207,instruct,OBLIGATE
207,898,develop,DEVELOP
207,205,instruct,OBLIGATE
208,899,require,OBLIGATE
210,28,require,OBLIGATE
103,28,require,OBLIGATE
211,903,establish,DEVELOP
211,825,oversee,REGULATE
4,802,obligate,OBLIGATE
4,852,submit,REPORT
212,904,establish,DEVELOP
213,902,advance,SUPPORT
46,905,safeguard,REGULATE
214,570,share,COORDINATE
215,570,lead,COORDINATE
25,907,expand,DEVELOP
96,909,support,SUPPORT
216,910,allow,AUTHORIZE
217,911,describe,REPORT
218,894,establish,DEVELOP
218,912,study,EVALUATE
149,894,establish,DEVELOP
149,46,govern,REGULATE
149,802,require,OBLIGATE
149,912,study,EVALUATE
80,913,test,EVALUATE
64,80,require,OBLIGATE
64,913,test,EVALUATE
219,914,develop,DEVELOP
21,22,direct,OBLIGATE
24,915,support,SUPPORT
64,917,coordinate,COORDINATE
64,22,demand,OBLIGATE
22,917,coordinate,COORDINATE
64,919,support,SUPPORT
22,295,implement,IMPLEMENT
80,920,assess,EVALUATE
10,61,mandate,OBLIGATE
10,922,submit,REPORT
61,922,submit,REPORT
22,923,develop,DEVELOP
64,22,mandate,OBLIGATE
94,924,develop,DEVELOP
221,380,instruct,OBLIGATE
33,925,allow,AUTHORIZE
224,927,safeguard,REGULATE
225,927,safeguard,REGULATE
226,928,involve,COORDINATE
226,929,require,OBLIGATE
211,903,establish,DEVELOP
228,931,oversee,REGULATE
230,46,oversee,REGULATE
231,46,govern,REGULATE
10,11,instruct,OBLIGATE
232,234,require,OBLIGATE
233,234,require,OBLIGATE
31,287,establish,DEVELOP
32,287,establish,DEVELOP
10,932,require,OBLIGATE
116,932,require,OBLIGATE
236,933,establish,DEVELOP
237,934,establish,DEVELOP
22,46,coordinate,COORDINATE
22,936,establish,DEVELOP
4,802,instruct,OBLIGATE
240,937,create,DEVELOP
242,648,obligate,OBLIGATE
243,98,prohibit,RESTRICT
243,46,use,USE
98,46,use,USE
39,40,empower,AUTHORIZE
1,939,establish,DEVELOP
244,940,use,USE
41,40,empower,AUTHORIZE
245,24,direct,OBLIGATE
245,941,improve,DEVELOP
24,941,improve,DEVELOP
31,24,direct,OBLIGATE
31,941,improve,DEVELOP
246,30,authorize,AUTHORIZE
32,24,direct,OBLIGATE
32,941,improve,DEVELOP
247,64,require,OBLIGATE
248,64,require,OBLIGATE
248,943,use,USE
1,300,use,USE
249,250,require,OBLIGATE
249,945,use,USE
250,945,use,USE
251,946,disclose,REPORT
252,253,instruct,OBLIGATE
252,947,use,USE
253,947,use,USE
254,46,oversee,REGULATE
256,948,establish,DEVELOP
256,949,require,OBLIGATE
257,949,require,OBLIGATE
260,46,use,USE
261,46,ensure,REGULATE
262,532,obligate,OBLIGATE
262,46,use,USE
10,92,require,OBLIGATE
44,300,prohibit,RESTRICT
263,954,review,EVALUATE
264,955,require,OBLIGATE
10,957,support,SUPPORT
64,22,direct,OBLIGATE
214,22,instruct,OBLIGATE
214,960,modify,DEVELOP
214,248,support,SUPPORT
64,22,instruct,OBLIGATE
64,960,modify,DEVELOP
22,960,modify,DEVELOP
22,248,support,SUPPORT
268,961,adopt,DEVELOP
268,269,require,OBLIGATE
268,64,support,SUPPORT
269,961,adopt,DEVELOP
269,64,support,SUPPORT
64,961,adopt,DEVELOP
64,269,require,OBLIGATE
270,962,establish,DEVELOP
22,963,establish,DEVELOP
271,61,instruct,OBLIGATE
272,964,enforce,REGULATE
273,270,task,OBLIGATE
43,267,direct,OBLIGATE
43,311,instruct,OBLIGATE
267,311,instruct,OBLIGATE
10,311,require,OBLIGATE
274,966,establish,DEVELOP
46,967,analyze,EVALUATE
275,11,instruct,OBLIGATE
276,46,engage,COORDINATE
276,968,engage,COORDINATE
276,969,engage,COORDINATE
277,751,increase,DEVELOP
215,970,ensure,REGULATE
215,971,ensure,REGULATE
215,972,facilitate,SUPPORT
215,973,implement,IMPLEMENT
215,300,maintain,IMPLEMENT
215,975,prevent,RESTRICT
215,977,support,SUPPORT
82,277,require,OBLIGATE
82,46,use,USE
4,277,require,OBLIGATE
4,46,use,USE
278,859,analyze,EVALUATE
278,83,require,OBLIGATE
279,280,require,OBLIGATE
279,281,require,OBLIGATE
279,149,require,OBLIGATE
280,281,require,OBLIGATE
280,149,require,OBLIGATE
281,280,require,OBLIGATE
281,149,require,OBLIGATE
282,280,require,OBLIGATE
282,281,require,OBLIGATE
282,149,require,OBLIGATE
283,280,require,OBLIGATE
283,281,require,OBLIGATE
283,149,require,OBLIGATE
149,280,require,OBLIGATE
149,281,require,OBLIGATE
284,978,require,OBLIGATE
284,979,submit,REPORT
83,46,use,USE
285,980,review,EVALUATE
286,22,direct,OBLIGATE
287,980,describe,REPORT
1,981,build,DEVELOP
1,982,develop,DEVELOP
1,983,establish,DEVELOP
1,984,increase,DEVELOP
288,852,submit,REPORT
10,852,submit,REPORT
289,852,submit,REPORT
290,852,submit,REPORT
291,852,submit,REPORT
277,985,implement,IMPLEMENT
64,22,instruct,OBLIGATE
292,986,establish,DEVELOP
292,22,instruct,OBLIGATE
22,986,establish,DEVELOP
293,987,establish,DEVELOP
21,326,require,OBLIGATE
294,295,execute,IMPLEMENT
294,22,instruct,OBLIGATE
64,295,execute,IMPLEMENT
64,22,instruct,OBLIGATE
22,295,execute,IMPLEMENT
10,739,submit,REPORT
296,22,instruct,OBLIGATE
43,990,assess,EVALUATE
43,94,instruct,OBLIGATE
43,990,operate,IMPLEMENT
1,990,assess,EVALUATE
1,94,instruct,OBLIGATE
94,990,assess,EVALUATE
298,94,require,OBLIGATE
299,22,instruct,OBLIGATE
27,300,bolster,SUPPORT
300,991,mitigate,REGULATE
301,992,fund,AUTHORIZE
302,114,instruct,OBLIGATE
303,114,instruct,OBLIGATE
304,114,instruct,OBLIGATE
305,121,require,OBLIGATE
306,121,require,OBLIGATE
307,121,require,OBLIGATE
308,121,require,OBLIGATE
52,121,require,OBLIGATE
309,121,require,OBLIGATE
310,43,support,SUPPORT
311,994,assess,EVALUATE
311,852,submit,REPORT
311,43,support,SUPPORT
312,94,instruct,OBLIGATE
313,94,instruct,OBLIGATE
314,22,instruct,OBLIGATE
22,995,assess,EVALUATE
315,995,assess,EVALUATE
315,22,instruct,OBLIGATE
315,22,require,OBLIGATE
21,995,assess,EVALUATE
21,22,require,OBLIGATE
317,22,require,OBLIGATE
318,22,require,OBLIGATE
52,22,require,OBLIGATE
64,996,instruct,OBLIGATE
64,22,require,OBLIGATE
22,999,implement,IMPLEMENT
10,22,instruct,OBLIGATE
10,852,submit,REPORT
322,1001,utilize,USE
22,852,submit,REPORT
294,22,instruct,OBLIGATE
323,1002,develop,DEVELOP
61,764,disclose,REPORT
324,764,disclose,REPORT
324,61,require,OBLIGATE
61,46,revise,DEVELOP
325,61,instruct,OBLIGATE
325,46,revise,DEVELOP
326,295,establish,DEVELOP
326,764,use,USE
64,22,require,OBLIGATE
64,1004,require,OBLIGATE
328,1004,require,OBLIGATE
61,1006,advance,SUPPORT
61,287,craft,DEVELOP
61,287,oversee,REGULATE
329,1006,advance,SUPPORT
329,287,oversee,REGULATE
329,61,require,OBLIGATE
1,287,craft,DEVELOP
1,61,require,OBLIGATE
11,263,submit,REPORT
21,263,submit,REPORT
330,1007,permit,AUTHORIZE
331,1007,permit,AUTHORIZE
32,1,require,OBLIGATE
32,1009,require,OBLIGATE
332,1010,instruct,OBLIGATE
332,1007,permit,AUTHORIZE
332,1009,require,OBLIGATE
332,1011,use,USE
21,22,require,OBLIGATE
64,1013,create,DEVELOP
22,21,notify,REPORT
22,739,submit,REPORT
21,22,require,OBLIGATE
21,739,submit,REPORT
64,22,require,OBLIGATE
336,61,instruct,OBLIGATE
337,61,require,OBLIGATE
338,61,require,OBLIGATE
271,61,require,OBLIGATE
271,961,service,IMPLEMENT
94,158,use,USE
21,94,require,OBLIGATE
10,1016,require,OBLIGATE
64,220,establish,DEVELOP
66,339,require,OBLIGATE
10,339,require,OBLIGATE
21,339,require,OBLIGATE
93,340,instruct,OBLIGATE
16,340,create,DEVELOP
341,340,create,DEVELOP
248,22,direct,OBLIGATE
248,1018,protect,REGULATE
22,1018,protect,REGULATE
10,16,require,OBLIGATE
22,16,require,OBLIGATE
342,46,oversee,REGULATE
220,22,instruct,OBLIGATE
64,295,carry,IMPLEMENT
64,220,establish,DEVELOP
64,343,instruct,OBLIGATE
64,22,instruct,OBLIGATE
343,295,carry,IMPLEMENT
22,220,establish,DEVELOP
62,64,mandate,OBLIGATE
62,158,use,USE
80,852,submit,REPORT
344,80,require,OBLIGATE
344,852,submit,REPORT
64,295,require,OBLIGATE
64,158,use,USE
308,80,require,OBLIGATE
308,852,submit,REPORT
52,80,require,OBLIGATE
52,852,submit,REPORT
82,346,require,OBLIGATE
4,346,require,OBLIGATE
346,277,obligate,OBLIGATE
4,979,submit,REPORT
164,979,submit,REPORT
198,199,authorize,AUTHORIZE
199,1021,develop,DEVELOP
199,1022,mandate,OBLIGATE
199,1023,submit,REPORT
199,46,use,USE
4,852,report,REPORT
308,1025,create,DEVELOP
52,1025,create,DEVELOP
61,1026,establish,DEVELOP
61,1027,submit,REPORT
348,22,mandate,OBLIGATE
349,22,mandate,OBLIGATE
22,350,update,REPORT
350,22,mandate,OBLIGATE
351,22,require,OBLIGATE
10,61,require,OBLIGATE
352,1029,counter,REGULATE
271,61,instruct,OBLIGATE
93,117,instruct,OBLIGATE
258,117,instruct,OBLIGATE
353,117,instruct,OBLIGATE
277,117,instruct,OBLIGATE
354,67,instruct,OBLIGATE
355,117,instruct,OBLIGATE
43,311,require,OBLIGATE
356,1032,use,USE
357,114,require,OBLIGATE
357,44,require,OBLIGATE
358,44,require,OBLIGATE
359,114,require,OBLIGATE
359,44,require,OBLIGATE
236,44,require,OBLIGATE
308,114,require,OBLIGATE
308,44,require,OBLIGATE
360,44,require,OBLIGATE
64,22,require,OBLIGATE
330,1033,promote,SUPPORT
361,16,require,OBLIGATE
362,739,create,DEVELOP
362,61,direct,OBLIGATE
362,61,require,OBLIGATE
10,739,create,DEVELOP
10,61,require,OBLIGATE
61,739,create,DEVELOP
271,61,direct,OBLIGATE
68,15,require,OBLIGATE
364,15,require,OBLIGATE
61,1034,establish,DEVELOP
365,271,instruct,OBLIGATE
366,16,require,OBLIGATE
277,16,require,OBLIGATE
61,46,boost,SUPPORT
61,46,coordinate,COORDINATE
61,1036,establish,DEVELOP
271,46,boost,SUPPORT
271,1037,develop,DEVELOP
271,1036,establish,DEVELOP
271,61,require,OBLIGATE
271,300,ensure,REGULATE
10,1038,promote,SUPPORT
10,61,require,OBLIGATE
61,1038,promote,SUPPORT
367,22,direct,OBLIGATE
64,1037,develop,DEVELOP
271,1037,develop,DEVELOP
368,1039,analyze,EVALUATE
64,369,instruct,OBLIGATE
369,22,require,OBLIGATE
21,369,require,OBLIGATE
64,22,direct,OBLIGATE
64,739,submit,REPORT
370,22,direct,OBLIGATE
370,739,submit,REPORT
22,739,submit,REPORT
21,22,direct,OBLIGATE
21,739,submit,REPORT
371,1041,require,OBLIGATE
68,94,require,OBLIGATE
68,1042,submit,REPORT
94,1042,submit,REPORT
21,94,require,OBLIGATE
21,1042,submit,REPORT
64,22,require,OBLIGATE
21,22,require,OBLIGATE
372,1043,develop,DEVELOP
372,1044,develop,DEVELOP
325,1045,establish,DEVELOP
10,61,instruct,OBLIGATE
271,61,instruct,OBLIGATE
330,1046,establish,DEVELOP
235,1047,fund,AUTHORIZE
11,1049,establish,DEVELOP
30,1050,carry,IMPLEMENT
373,1051,apply,IMPLEMENT
374,1051,apply,IMPLEMENT
374,373,instruct,OBLIGATE
375,1052,counter,REGULATE
15,782,protect,REGULATE
40,1,direct,OBLIGATE
376,1,instruct,OBLIGATE
376,1056,modify,DEVELOP
1,1056,modify,DEVELOP
1,764,use,USE
377,1057,instruct,OBLIGATE
378,1057,instruct,OBLIGATE
379,1058,mitigate,REGULATE
379,1059,protect,REGULATE
382,383,establish,DEVELOP
382,769,monitor,REGULATE
383,769,monitor,REGULATE
142,1060,review,EVALUATE
384,1061,authorize,AUTHORIZE
30,1062,improve,DEVELOP
385,1061,authorize,AUTHORIZE
386,1061,authorize,AUTHORIZE
10,61,instruct,OBLIGATE
387,1063,establish,DEVELOP
387,235,instruct,OBLIGATE
389,30,instruct,OBLIGATE
390,30,instruct,OBLIGATE
391,30,instruct,OBLIGATE
392,393,advance,SUPPORT
393,1066,improve,DEVELOP
10,739,submit,REPORT
392,1068,establish,DEVELOP
392,1069,appropriate,AUTHORIZE
392,1070,establish,DEVELOP
392,1071,use,USE
390,1072,establish,DEVELOP
277,1073,instruct,OBLIGATE
396,1074,establish,DEVELOP
397,30,direct,OBLIGATE
397,1075,use,USE
398,46,regulate,REGULATE
399,398,establish,DEVELOP
399,46,regulate,REGULATE
397,46,encourage,SUPPORT
400,46,encourage,SUPPORT
401,1076,use,USE
235,1080,develop,DEVELOP
403,1081,require,OBLIGATE
404,1081,require,OBLIGATE
220,1082,improve,DEVELOP
220,1083,oversee,REGULATE
64,220,establish,DEVELOP
64,1082,improve,DEVELOP
64,1083,oversee,REGULATE
22,1016,mandate,OBLIGATE
21,1016,mandate,OBLIGATE
405,1085,regulate,REGULATE
406,1085,regulate,REGULATE
408,922,publish,REPORT
408,1086,require,OBLIGATE
409,1086,require,OBLIGATE
410,1086,require,OBLIGATE
61,22,require,OBLIGATE
412,46,coordinate,COORDINATE
413,46,coordinate,COORDINATE
413,412,establish,DEVELOP
413,1087,mandate,OBLIGATE
414,1088,involve,COORDINATE
415,570,oversee,REGULATE
416,1089,report,REPORT
27,882,develop,DEVELOP
384,46,ensure,REGULATE
10,121,instruct,OBLIGATE
10,1022,instruct,OBLIGATE
121,1022,instruct,OBLIGATE
44,1090,allocate,AUTHORIZE
44,1091,improve,DEVELOP
417,1090,allocate,AUTHORIZE
417,1091,improve,DEVELOP
149,1090,allocate,AUTHORIZE
149,1091,improve,DEVELOP
24,180,mandate,OBLIGATE
96,180,mandate,OBLIGATE
10,221,direct,OBLIGATE
10,158,use,USE
221,1096,establish,DEVELOP
221,158,use,USE
421,1096,establish,DEVELOP
380,1096,establish,DEVELOP
388,1096,establish,DEVELOP
61,1097,appropriate,AUTHORIZE
61,739,submit,REPORT
10,263,mandate,OBLIGATE
423,1098,improve,DEVELOP
423,263,mandate,OBLIGATE
424,37,require,OBLIGATE
425,1100,develop,DEVELOP
425,49,mandate,OBLIGATE
49,1100,develop,DEVELOP
426,346,establish,DEVELOP
423,263,mandate,OBLIGATE
25,423,prohibit,RESTRICT
64,22,mandate,OBLIGATE
428,1102,enforce,REGULATE
428,1103,establish,DEVELOP
431,682,stipulate,OBLIGATE
432,1105,appropriate,AUTHORIZE
433,434,direct,OBLIGATE
138,434,compel,OBLIGATE
436,484,support,SUPPORT
437,46,advance,SUPPORT
437,1108,develop,DEVELOP
437,46,share,COORDINATE
440,295,assess,EVALUATE
441,158,use,USE
442,444,require,OBLIGATE
443,444,require,OBLIGATE
446,147,require,OBLIGATE
46,1113,design,DEVELOP
82,1114,direct,OBLIGATE
82,346,require,OBLIGATE
4,346,require,OBLIGATE
346,277,instruct,OBLIGATE
346,1115,protect,REGULATE
231,346,obligate,OBLIGATE
231,1115,protect,REGULATE
448,1119,increase,DEVELOP
449,1120,participate,COORDINATE
451,450,support,SUPPORT
452,1122,develop,DEVELOP
453,1122,develop,DEVELOP
453,452,require,OBLIGATE
454,852,submit,REPORT
455,454,require,OBLIGATE
455,852,submit,REPORT
458,1123,support,SUPPORT
460,1125,prohibit,RESTRICT
219,1126,develop,DEVELOP
64,1126,develop,DEVELOP
64,219,mandate,OBLIGATE
461,1127,develop,DEVELOP
461,1128,publish,REPORT
461,810,submit,REPORT
463,769,ensure,REGULATE
464,1130,establish,DEVELOP
40,1131,mandate,OBLIGATE
49,51,mandate,OBLIGATE
25,51,mandate,OBLIGATE
465,22,require,OBLIGATE
28,22,direct,OBLIGATE
466,1132,operate,IMPLEMENT
180,24,mandate,OBLIGATE
467,469,require,OBLIGATE
468,1133,mandate,OBLIGATE
468,469,require,OBLIGATE
31,469,require,OBLIGATE
470,15,require,OBLIGATE
471,1134,establish,DEVELOP
472,54,mandate,OBLIGATE
10,263,instruct,OBLIGATE
10,396,obligate,OBLIGATE
473,751,aid,SUPPORT
215,263,direct,OBLIGATE
10,532,obligate,OBLIGATE
474,764,use,USE
46,1135,develop,DEVELOP
288,1136,study,EVALUATE
27,1138,use,USE
475,1139,use,USE
10,114,require,OBLIGATE
325,27,require,OBLIGATE
28,27,require,OBLIGATE
28,1140,use,USE
476,1142,require,OBLIGATE
477,1145,establish,DEVELOP
55,1145,establish,DEVELOP
1,1146,prohibit,RESTRICT
10,35,obligate,OBLIGATE
10,27,require,OBLIGATE
35,27,require,OBLIGATE
28,35,mandate,OBLIGATE
28,35,notify,REPORT
479,1016,require,OBLIGATE
10,481,instruct,OBLIGATE
480,481,direct,OBLIGATE
480,1149,regulate,REGULATE
481,906,ensure,REGULATE
481,1149,regulate,REGULATE
11,481,instruct,OBLIGATE
11,481,require,OBLIGATE
482,906,ensure,REGULATE
482,481,establish,DEVELOP
10,1151,establish,DEVELOP
64,22,direct,OBLIGATE
64,483,establish,DEVELOP
483,22,direct,OBLIGATE
22,483,establish,DEVELOP
425,49,direct,OBLIGATE
39,49,direct,OBLIGATE
40,49,direct,OBLIGATE
10,487,direct,OBLIGATE
485,487,instruct,OBLIGATE
486,487,instruct,OBLIGATE
480,739,require,OBLIGATE
388,1155,establish,DEVELOP
245,24,require,OBLIGATE
488,245,obligate,OBLIGATE
488,24,require,OBLIGATE
96,24,require,OBLIGATE
489,1156,use,USE
491,487,instruct,OBLIGATE
487,782,assess,EVALUATE
487,852,submit,REPORT
39,1158,enforce,REGULATE
39,40,mandate,OBLIGATE
40,1158,enforce,REGULATE
39,1159,impose,OBLIGATE
39,1160,revise,DEVELOP
492,46,oversee,REGULATE
210,46,coordinate,COORDINATE
340,46,promote,SUPPORT
39,40,direct,OBLIGATE
10,495,direct,OBLIGATE
495,88,authorize,AUTHORIZE
495,1162,establish,DEVELOP
496,88,authorize,AUTHORIZE
22,764,use,USE
24,1,mandate,OBLIGATE
35,1163,require,OBLIGATE
30,1,mandate,OBLIGATE
51,287,establish,DEVELOP
235,38,require,OBLIGATE
498,67,direct,OBLIGATE
0,499,establish,DEVELOP
499,0,direct,OBLIGATE
499,67,direct,OBLIGATE
500,1167,adopt,DEVELOP
501,1167,adopt,DEVELOP
201,158,expand,DEVELOP
301,1169,expand,DEVELOP
502,739,submit,REPORT
503,1171,monitor,REGULATE
503,739,submit,REPORT
31,1172,require,OBLIGATE
32,1172,require,OBLIGATE
246,30,direct,OBLIGATE
246,1174,improve,DEVELOP
246,1175,use,USE
505,1174,support,SUPPORT
30,1174,improve,DEVELOP
30,1175,use,USE
64,46,use,USE
506,1179,update,REPORT
1,1181,involve,COORDINATE
10,88,obligate,OBLIGATE
10,88,obligate,OBLIGATE
28,469,authorize,AUTHORIZE
509,469,require,OBLIGATE
510,469,require,OBLIGATE
511,1186,support,SUPPORT
467,469,require,OBLIGATE
468,1133,instruct,OBLIGATE
468,469,require,OBLIGATE
141,1188,develop,DEVELOP
512,1188,develop,DEVELOP
236,1190,establish,DEVELOP
31,469,require,OBLIGATE
488,96,mandate,OBLIGATE
0,515,establish,DEVELOP
0,1194,oversee,REGULATE
515,1194,oversee,REGULATE
516,947,use,USE
517,61,require,OBLIGATE
517,518,support,SUPPORT
61,518,support,SUPPORT
518,61,require,OBLIGATE
22,61,require,OBLIGATE
22,518,support,SUPPORT
385,61,require,OBLIGATE
385,518,support,SUPPORT
10,11,obligate,OBLIGATE
519,16,mandate,OBLIGATE
520,16,mandate,OBLIGATE
20,40,empower,AUTHORIZE
25,1197,promote,SUPPORT
89,1198,authorize,AUTHORIZE
472,392,mandate,OBLIGATE
22,16,require,OBLIGATE
336,61,require,OBLIGATE
271,61,require,OBLIGATE
521,1200,require,OBLIGATE
521,1201,use,USE
505,521,obligate,OBLIGATE
30,521,obligate,OBLIGATE
522,521,obligate,OBLIGATE
525,1205,appropriate,AUTHORIZE
526,1205,appropriate,AUTHORIZE
527,54,require,OBLIGATE
528,472,require,OBLIGATE
61,1006,advance,SUPPORT
529,1006,advance,SUPPORT
521,1206,improve,DEVELOP
521,1200,require,OBLIGATE
505,521,instruct,OBLIGATE
30,521,instruct,OBLIGATE
522,521,instruct,OBLIGATE
